,ADS Life,Asset,Asset Type,GDS Class Life,GDS Life,Method,System,asset_category,assets_c,assets_nc,b,bea_asset_code,bonus,delta,eatr_c,eatr_c_d,eatr_c_e,eatr_nc,eatr_nc_d,eatr_nc_e,major_asset_group,metr_c,metr_c_d,metr_c_e,metr_nc,metr_nc_d,metr_nc_e,mettr_c,mettr_c_d,mettr_c_e,mettr_nc,mettr_nc_d,mettr_nc_e,rho_c,rho_c_d,rho_c_e,rho_nc,rho_nc_d,rho_nc_e,tax_wedge_c,tax_wedge_c_d,tax_wedge_c_e,tax_wedge_nc,tax_wedge_nc_d,tax_wedge_nc_e,ucc_c,ucc_c_d,ucc_c_e,ucc_nc,ucc_nc_d,ucc_nc_e,z_c,z_c_d,z_c_e,z_nc,z_nc_d,z_nc_e
24,6.0,Financial and real estate services,Financial and real estate services,5.0,5.0,Expensing,GDS,Intellectual Property,6097212063.694516,1540787936.3054852,1.0,RD50,0.5,0.16,0.231588,0.19564999999999994,0.2484999999999999,0.1977756759356662,0.22558777762092994,0.186415803416333,Intellectual Property,-0.16591146741024757,-1.1782178217821788,-5.9818050895752e-16,0.012033381267900923,0.0677057020247678,1.3607184599057421e-16,0.0333298666443351,-0.5002900643841738,0.12078725087781028,0.012033381267900923,0.06770570202476793,2.7214369198114843e-16,0.045904,0.020199999999999996,0.05799999999999997,0.0440317796774681,0.02698551265040114,0.05099433944908699,0.0015299741984415582,-0.010105859300560308,0.007005660550912993,0.0005298511927631852,0.001827073078493665,1.3877787807814457e-17,0.205904,0.1802,0.21799999999999997,0.2040317796774681,0.18698551265040114,0.210994339449087,1.0,1.0,1.0,1.0,1.0,1.0
25,40.0,Food and beverage establishments,Food and beverage establishments,39.0,39.0,SL,GDS,Nonresidential Buildings,177715537882.64352,142536462117.35663,1.0,SC04,0.0,0.0262,0.3153978384666065,0.23876104550369712,0.3526166230611394,0.2554764304694761,0.26374492375042424,0.252400025680677,Structures,0.25346946931042363,-0.31480898641360516,0.35581240044378903,0.26792800632208486,0.32303623581705176,0.2565895263159973,0.38104325428867014,0.09439963296902232,0.43362204964375983,0.26792800632208486,0.3230362358170518,0.2565895263159974,0.07169164260510973,0.033464937078060655,0.09003588401881213,0.05942301967618252,0.03716364287573368,0.06859513183394139,0.027317616803551284,0.003159077777500352,0.03904154456972515,0.015921091191477603,0.012005203303826203,0.017600792384854416,0.09789164260510973,0.059664937078060656,0.11623588401881213,0.08562301967618252,0.06336364287573368,0.09479513183394139,0.33580194903705246,0.4690757942894444,0.2934060192661048,0.3432987259553685,0.42654073245948454,0.3167577928036475
26,14.0,Gas,Gas,5.0,5.0,DB 200%,GDS,Mining and Drilling Structures,365538291966.4428,31446708033.55747,2.0,SU40,0.5,0.0751,0.2451717639540046,0.20267750333471615,0.26572039992660024,0.20710593715698902,0.23173287028838502,0.19719156175484462,Structures,-0.06861285873360219,-0.9675964836245623,0.08370778946932037,0.06488804234256448,0.12109240477907449,0.05335849045319774,0.11400122262103912,-0.355220504386436,0.1943842065800734,0.06488804234256448,0.12109240477907461,0.05335849045319786,0.05008361967815528,0.02236230871837422,0.06329858459280008,0.04652055631251077,0.028624669656636154,0.05386869151079182,0.005709593876596836,-0.007943550582186085,0.012304245143713102,0.0030186278278058545,0.0034662300847286796,0.0028743520617048463,0.12518361967815528,0.09746230871837422,0.13839858459280008,0.12162055631251077,0.10372466965663615,0.12896869151079182,0.9358521137246717,0.957862369451559,0.9260689066154328,0.937398287537728,0.9518845709851909,0.9316918863424698
27,9.0,General industrial equipment,General industrial equipment,7.0,7.0,DB 200%,GDS,Industrial Machinery,476419502162.8554,114662497837.14458,2.0,EI50,0.5,0.1072,0.2546945517832451,0.20846060328622168,0.2770509962954288,0.2137151778634851,0.23656016050554832,0.2045413664592995,Equipment,-0.009550204575388587,-0.8225707426482659,0.13154049869721848,0.09903156781924642,0.15892697028526548,0.0866008685711256,0.16297072448062608,-0.2553311930003646,0.236439334358296,0.09903156781924642,0.1589269702852656,0.08660086857112573,0.053013708240998506,0.02414172408806821,0.06678492193705503,0.04828352129875456,0.02991231282310934,0.055829196344115276,0.008639682439440063,-0.0061641352124920945,0.015790582487968052,0.004781592814049641,0.004753873251201867,0.0048348568950283,0.1602137082409985,0.1313417240880682,0.17398492193705503,0.15548352129875456,0.13711231282310934,0.16302919634411528,0.9137596413147916,0.9425404651885104,0.9012417976636847,0.9157535278283842,0.9346395002100526,0.9084157893019689
28,20.0,Highway and conservation and development,Highway and conservation and development,15.0,15.0,DB 150%,GDS,Other Structures,22901934534.26336,14651065465.73664,1.5,SO04,0.5,0.0225,0.2528632980638701,0.20501701686552418,0.276466075791498,0.21228431691144958,0.234279031269567,0.20358637091173687,Structures,-0.02039560407206958,-0.9062341582622833,0.12919380410644665,0.09185285072689328,0.14146266967567186,0.08241410131230466,0.15397868342879625,-0.31295600441406257,0.23437609055579334,0.09185285072689328,0.14146266967567198,0.08241410131230478,0.05245024555811389,0.023082159035545904,0.06660494639738401,0.047901849958483546,0.02930383884694148,0.055574458502487455,0.008076219756555446,-0.007223700265014399,0.015610606948297037,0.0043999214737786285,0.004145399275034007,0.004580119053400479,0.07495024555811389,0.045582159035545904,0.089104946397384,0.07040184995848354,0.05180383884694148,0.07807445850248745,0.8222718966821474,0.8746468134422991,0.8014830467329329,0.825691874132762,0.8596138088987213,0.8132542192868342
29,40.0,Hospitals,Hospitals,39.0,39.0,SL,GDS,Nonresidential Buildings,321465584009.551,335377415990.44916,1.0,SB31,0.0,0.0188,0.30679647370663643,0.23188557703974538,0.3434662310106355,0.24939676702493457,0.25843590504801395,0.246074649387015,Structures,0.22485412927032206,-0.40353526136693435,0.33501779267341525,0.2473886075382879,0.2962182539034581,0.23784260939572838,0.3573179583757434,0.03328767830996728,0.41533916537905186,0.2473886075382879,0.2962182539034582,0.23784260939572846,0.06904506883281122,0.03134940831992167,0.08722037877250324,0.057801315420451874,0.035747502278151363,0.06690788553353323,0.024671043031252782,0.0010435490193613645,0.03622603932341627,0.014299386935746956,0.01058906270624389,0.015913546084446256,0.08784506883281122,0.050149408319921665,0.10602037877250324,0.07660131542045187,0.05454750227815136,0.08570788553353323,0.33580194903705246,0.4690757942894444,0.2934060192661048,0.3432987259553685,0.42654073245948454,0.3167577928036475
30,9.0,Household appliances,Household appliances,5.0,5.0,DB 200%,GDS,Office and Residential Equipment,2759304252.2440333,2193695747.755965,2.0,EO71,0.5,0.165,0.2552638301622706,0.20930680606074975,0.2773516091933272,0.21414679968811057,0.23714444942886584,0.20487422759745627,Equipment,-0.006225535074162759,-0.8031239322695795,0.13274164060899432,0.10117481278680061,0.1632865690166188,0.08805119010886994,0.165727244851124,-0.24193682256442947,0.23749539364063432,0.10117481278680061,0.16328656901661892,0.08805119010887007,0.05318887081916021,0.024402094172538386,0.06687741821333146,0.04839865315699743,0.030068167475618274,0.055917984535968385,0.008814845017601769,-0.005903765128021918,0.015883078764244482,0.0048967246722925115,0.0049097279037108,0.004923645086881409,0.21818887081916022,0.1894020941725384,0.23187741821333147,0.21339865315699744,0.19506816747561828,0.2209179845359684,0.9358521137246717,0.957862369451559,0.9260689066154328,0.937398287537728,0.9518845709851909,0.9316918863424698
31,9.0,Household furniture,Household furniture,5.0,5.0,DB 200%,GDS,Office and Residential Equipment,8900871527.049185,8579128472.950817,2.0,EO11,0.5,0.1375,0.2521767131352704,0.20727893259060595,0.2737936753241951,0.21199303195055955,0.23548907204996467,0.20252413515394338,Equipment,-0.02452213137977546,-0.8504396373790375,0.11830881005174712,0.09037741896842795,0.15081606684994883,0.07771186537323897,0.15055733385437595,-0.2745264385133848,0.22480586500878227,0.09037741896842795,0.15081606684994894,0.0777118653732391,0.0522389886570063,0.02377813310480184,0.06578266933052157,0.04782415189756048,0.029626608076040895,0.05529111514561963,0.007864962855447855,-0.006527726195758463,0.014788329881434595,0.004322223412855562,0.0044681685041334206,0.004296775696532654,0.1897389886570063,0.16127813310480185,0.20328266933052158,0.1853241518975605,0.1671266080760409,0.19279111514561964,0.9358521137246717,0.957862369451559,0.9260689066154328,0.937398287537728,0.9518845709851909,0.9316918863424698
32,,Intellectual Property,Intellectual Property,,,,,,1636420413281.8438,336147586718.15643,,,,0.1768978797341333,0.24185014299402607,0.20023014474421072,0.2614422023472094,0.20369995480770514,0.22926592733698134,0.193259077402357,Intellectual Property,-0.09087390411758198,-1.036162683714072,0.0642477206682938,0.046262082578165116,0.10041222616721915,0.03455889604115563,0.09554434290806488,-0.4024468137656802,0.1772746659914159,0.046262082578165116,0.10041222616721927,0.034558896041155765,0.049061582459700354,0.02160927530591102,0.061982216106833674,0.045612036273340456,0.02796663127680972,0.05281973104312825,0.0046875566581419115,-0.008696583994649284,0.010987876657746698,0.0021101077886355388,0.0028081917049022458,0.001825391594041277,0.22595946219383367,0.19850715504004426,0.238880095840967,0.23510470572449743,0.21745930072796668,0.24231240049428523,0.9660029864555437,0.9821045392596951,0.9600283757449726,0.9733974080577705,0.9817124873375941,0.9704669366434495
33,20.0,Internal combustion engines,Internal combustion engines,7.0,7.0,DB 200%,GDS,Transportation Equipment,12363020746.352562,1555979253.647436,2.0,EI22,0.5,0.2063,0.2696507859882273,0.21842552311090419,0.29417813753560423,0.22416010315905271,0.2446635922575186,0.2158960287298548,Equipment,0.0710853410733569,-0.6171801417634577,0.19505722445443655,0.14818392523733598,0.21560879445252132,0.13360344658092457,0.22982655002509872,-0.11386440545326156,0.29228404942653985,0.14818392523733598,0.21560879445252143,0.13360344658092468,0.0576156264579161,0.02720785326489361,0.0720548115494167,0.05106962614766994,0.0320738419732125,0.05885796665262247,0.013241600656357655,-0.003098006035666692,0.021060472100329727,0.007567697662965021,0.0069154024013050285,0.007863627203535492,0.2639156264579161,0.23350785326489362,0.2783548115494167,0.25736962614766995,0.2383738419732125,0.2651579666526225,0.9137596413147916,0.9425404651885104,0.9012417976636847,0.9157535278283842,0.9346395002100526,0.9084157893019689
34,100.0,Inventories,Inventories,100.0,100.0,SL,GDS,Inventories,1540550422356.8794,903249577643.1193,1.0,INV,0.0,0.0,0.33137323878982644,0.251474984611214,0.368774628112202,0.26697214453695434,0.2739023725750029,0.2640963346040443,Inventories,0.3013706981301979,-0.17719710323633972,0.38952238027956365,0.3038512387546042,0.36903673632506157,0.2889309710357076,0.42075869456473547,0.18918250500664388,0.4632602936880248,0.3038512387546042,0.3690367363250616,0.2889309710357077,0.07660715039686969,0.03737691834191199,0.09500757788067754,0.06248941448503171,0.039873065549611265,0.071715033803909,0.03223312459531125,0.0070710590413516836,0.044013238431590565,0.018987486000326792,0.014714625977703791,0.02072069435482203,0.07660715039686969,0.03737691834191199,0.09500757788067754,0.06248941448503171,0.039873065549611265,0.071715033803909,0.0,0.0,0.0,0.0,0.0,0.0
35,100.0,Land,Land,100.0,100.0,SL,GDS,Land,3586505862665.655,9085894137334.352,1.0,LAND,0.0,0.0,0.31191999999999986,0.23099999999999993,0.35,0.2528623052226223,0.2593484146512749,0.25021304925880644,Land,0.24215754618333887,-0.41584158415841593,0.35000000000000003,0.2592355215067719,0.30097790112774964,0.25021304925880644,0.37166441331881767,0.024811458150287315,0.42851171307057706,0.2592355215067719,0.3009779011277497,0.25021304925880655,0.07062153846153844,0.03107692307692308,0.08923076923076924,0.05872572153188445,0.0359909073153713,0.06801177240905179,0.026247512659980002,0.0007710637763627751,0.03823642978168226,0.01522379304717953,0.010832467743463827,0.017017432959964815,0.07062153846153844,0.03107692307692308,0.08923076923076924,0.05872572153188445,0.0359909073153713,0.06801177240905179,0.0,0.0,0.0,0.0,0.0,0.0
36,5.0,Light trucks (including utility vehicles),Light trucks (including utility vehicles),5.0,5.0,DB 200%,GDS,Transportation Equipment,167619978536.6496,77738021463.35046,2.0,ET11,0.5,0.1725,0.25610577116963446,0.2098598624616979,0.27832195479399974,0.21473419088926093,0.23759591598674804,0.20551516190023258,Equipment,-0.0013484228462210229,-0.7906366927264002,0.13659622470007016,0.10407521234880439,0.16662430188204053,0.09083089565065734,0.16977091271061173,-0.2333359924587935,0.24088439311607177,0.10407521234880439,0.16662430188204064,0.09083089565065747,0.05344792959065675,0.024572265372830138,0.06717598609046146,0.048555335318662074,0.030188592766412115,0.056088948915154424,0.009073903789098309,-0.005733593927730166,0.01618164664137449,0.005053406833957157,0.005030153194504641,0.0050946094660674485,0.22594792959065674,0.19707226537283012,0.23967598609046145,0.22105533531866206,0.2026885927664121,0.2285889489151544,0.9358521137246717,0.957862369451559,0.9260689066154328,0.937398287537728,0.9518845709851909,0.9316918863424698
37,40.0,Local transit structures,Local transit structures,39.0,39.0,SL,GDS,Other Structures,9253082151.78652,2713917848.213483,1.0,SB44,0.0,0.0237,0.31249197199364365,0.2364382521037134,0.3495252743954287,0.25342249011659035,0.2619513363509613,0.2502630742301155,Structures,0.24404142181542476,-0.3435019569906205,0.3489342151782234,0.2611155812853419,0.3142076937104925,0.2503601272032761,0.37322635550688016,0.0746367891230645,0.42757466146745005,0.2611155812853419,0.3142076937104926,0.25036012720327616,0.07079752984419807,0.032750231416527206,0.08908469981397805,0.05887514661681405,0.036685216998172086,0.06802511619191161,0.02642350404263963,0.002444372115966903,0.03809036036489108,0.01537321813210913,0.011526777426264612,0.017030776742824633,0.09449752984419807,0.056450231416527205,0.11278469981397805,0.08257514661681405,0.060385216998172085,0.09172511619191161,0.33580194903705246,0.4690757942894444,0.2934060192661048,0.3432987259553685,0.42654073245948454,0.3167577928036475
38,40.0,Lodging,Lodging,39.0,39.0,SL,GDS,Nonresidential Buildings,171809464722.00067,333097535277.9994,1.0,SB41,0.0,0.0281,0.3176062969860583,0.24052636848768466,0.3549660480470797,0.257037425137669,0.26510805017401606,0.25402410878310355,Structures,0.26047898279564274,-0.2938089069300567,0.360943399255519,0.27302201964878525,0.3295953769671248,0.2612550627819816,0.38685491968944524,0.1088638478355906,0.4381332892147636,0.27302201964878525,0.32959537696712493,0.2612550627819817,0.07237116830340257,0.034008113380826065,0.09075878401448606,0.059839403201302516,0.037527246542680484,0.06902834372188399,0.027997142501844124,0.0037022540802657614,0.039764444565399085,0.0163374747165976,0.01236880697077301,0.018034004272797013,0.10047116830340257,0.062108113380826065,0.11885878401448606,0.08793940320130252,0.06562724654268048,0.09712834372188399,0.33580194903705246,0.4690757942894444,0.2934060192661048,0.3432987259553685,0.42654073245948454,0.3167577928036475
39,15.0,Long-lived television programs,Long-lived television programs,15.0,15.0,Economic,GDS,Intellectual Property,144610873939.53964,14909126060.460344,1.0,AE20,0.5,0.168,0.2717539999999999,0.2133249999999999,0.2992499999999999,0.22531899057914417,0.24246809613610246,0.21831442633756964,Intellectual Property,0.08140308628283477,-0.7161716171617172,0.21212121212121174,0.1533089463497858,0.20102033155962093,0.1429962940075752,0.2383811070531121,-0.18204671739359174,0.3072869249340324,0.1533089463497858,0.20102033155962104,0.1429962940075753,0.0582627692307692,0.025638461538461527,0.07361538461538458,0.051378750604676254,0.031488209982886234,0.059503055929069376,0.01388874342921076,-0.004667397762098777,0.022621045166297607,0.007876822119971337,0.00632977041097876,0.0085087164799824,0.2262627692307692,0.19363846153846154,0.2416153846153846,0.21937875060467626,0.19948820998288624,0.2275030559290694,0.8926995287605655,0.9463336875664188,0.8716814159292036,0.8961670280171044,0.930801236759613,0.8835715581111118
40,5.0,Mainframes,Mainframes,5.0,5.0,DB 200%,GDS,Computers and Software,17413293618.873543,6190706381.126447,2.0,EP1A,0.5,0.4633,0.2887506304951489,0.2313037026477997,0.3159454882174061,0.23750930572852888,0.2551007793243654,0.2303663212665451,Equipment,0.15706581762012517,-0.4115969728881956,0.26351505036149064,0.20370510600112784,0.2782568068586889,0.1869240769698428,0.30111391707884655,0.027735017058034373,0.3524730427412091,0.20370510600112784,0.278256806858689,0.18692407696984292,0.06349250169081505,0.031170370045476847,0.07875245791304802,0.05463042500027199,0.034857882708125065,0.06271780777746089,0.01911847588925661,0.000864510744916544,0.02775811846396105,0.01112849651556707,0.009699443136217591,0.011723468328373912,0.526792501690815,0.49447037004547684,0.542052457913048,0.517930425000272,0.49815788270812505,0.5260178077774609,0.9358521137246717,0.957862369451559,0.9260689066154328,0.937398287537728,0.9518845709851909,0.9316918863424698
41,40.0,Manufacturing,Manufacturing,39.0,39.0,SL,GDS,Nonresidential Buildings,1098167248469.7018,312763751530.2992,1.0,SI00,0.0,0.0314,0.3214420407303694,0.2435924557756631,0.3590466282858179,0.25974862640347807,0.2674755855413071,0.25684488469784467,Structures,0.27234556955528216,-0.25888642008422297,0.36966351675485687,0.2817030375724042,0.3406904774889282,0.26922068123008913,0.39669363843101235,0.1329173926713975,0.44580012769402494,0.2817030375724042,0.34069047748892833,0.2692206812300892,0.07355139714780598,0.0349515248540502,0.09201434716486705,0.060562595639668884,0.03815876870106179,0.0697807643693633,0.029177371346247538,0.0046456655534899,0.04102000771578007,0.017060667154963967,0.013000329129154314,0.018786424920276323,0.10495139714780598,0.0663515248540502,0.12341434716486704,0.09196259563966888,0.06955876870106179,0.1011807643693633,0.33580194903705246,0.4690757942894444,0.2934060192661048,0.3432987259553685,0.42654073245948454,0.3167577928036475
42,40.0,Medical buildings,Medical buildings,39.0,39.0,SL,GDS,Nonresidential Buildings,108684928850.83847,100075071149.16151,1.0,SOO2,0.0,0.0247,0.3136543185828289,0.23736736946370687,0.3507618138617129,0.25424406625774465,0.26266877131074645,0.2511178548103401,Structures,0.24784107355945656,-0.3318757897699816,0.35170304003657415,0.2638557094905622,0.3177665998842623,0.2528643727999775,0.3763766889247913,0.08264453885018881,0.4300090475829985,0.2638557094905622,0.3177665998842624,0.2528643727999776,0.07115517494856274,0.03303611368114058,0.08946517349591168,0.05909429584056143,0.03687658734919672,0.06825312244872352,0.0267811491470043,0.002730254380580277,0.038470834046824706,0.015592367355856514,0.011718147777289249,0.01725878299963654,0.09585517494856274,0.05773611368114058,0.11416517349591168,0.08379429584056143,0.06157658734919672,0.09295312244872352,0.33580194903705246,0.4690757942894444,0.2934060192661048,0.3432987259553685,0.42654073245948454,0.3167577928036475
43,14.0,Metalworking machinery,Metalworking machinery,7.0,7.0,DB 200%,GDS,Other Industrial Equipment,218890188220.55255,40483811779.44742,2.0,EI30,0.5,0.1225,0.25700363738704163,0.2099990823307992,0.27969524716298355,0.2153277647153741,0.23781124532699274,0.20629440715293726,Equipment,0.003800822233562991,-0.7875205044064073,0.1419932727986647,0.10698718701794961,0.16820688955138136,0.09418770897895286,0.17404020893686142,-0.2311896568956172,0.24562954661198177,0.10698718701794961,0.16820688955138147,0.09418770897895298,0.05372419611908974,0.024615102255630544,0.06759853758861034,0.048713666648788956,0.030246030239825555,0.0562968066944701,0.009350170317531298,-0.005690757044929759,0.016604198139523366,0.0052117381640840385,0.005087590667918081,0.005302467245383122,0.17622419611908974,0.14711510225563054,0.19009853758861034,0.17121366664878895,0.15274603023982555,0.1787968066944701,0.9137596413147916,0.9425404651885104,0.9012417976636847,0.9157535278283842,0.9346395002100526,0.9084157893019689
44,10.0,Mining,Mining,7.0,7.0,DB 200%,GDS,Mining and Drilling Structures,82930242550.87567,17079757449.12428,2.0,SM02,0.5,0.045,0.24530728874036017,0.20220613292199097,0.26630116597112086,0.20715943262247313,0.2314740509700029,0.19741462586163505,Structures,-0.06772386518091028,-0.9804411926406896,0.08628727756978748,0.0651747865190921,0.11896749617635999,0.054402949687390484,0.11473829703891225,-0.36406754857278584,0.19665212540421306,0.0651747865190921,0.1189674961763601,0.05440294968739061,0.050125319612418534,0.022217271668304922,0.06347728183726797,0.0465348258234515,0.0285556315603806,0.05392819217469906,0.005751293810860092,-0.008088587632255381,0.012482942388180998,0.003032897338746586,0.003397191988473127,0.002933852725612085,0.09512531961241853,0.06721727166830492,0.10847728183726797,0.0915348258234515,0.0735556315603806,0.09892819217469906,0.9137596413147916,0.9425404651885104,0.9012417976636847,0.9157535278283842,0.9346395002100526,0.9084157893019689
45,10.0,Mining and oilfield machinery,Mining and oilfield machinery,7.0,7.0,DB 200%,GDS,Other Industrial Equipment,84858812350.85167,18092187649.148483,2.0,EO50,0.5,0.15,0.26115395464876723,0.21276432244360216,0.2844479856504187,0.21822620513543567,0.240059927195602,0.2094452972885605,Equipment,0.026930619007708892,-0.7277976279869146,0.16016176552552483,0.12093881159722318,0.1843816823108306,0.1075119967685069,0.19321738006617295,-0.1900543594003014,0.261603517049771,0.12093881159722318,0.1843816823108307,0.10751199676850702,0.055001216815005305,0.02546594536726221,0.0690609186616673,0.04948680371584416,0.03084584912608021,0.05713728281438882,0.010627191013446863,-0.004839913933298093,0.018066579212580328,0.00598487523113924,0.005687409554172736,0.006142943365301842,0.2050012168150053,0.1754659453672622,0.2190609186616673,0.19948680371584415,0.1808458491260802,0.2071372828143888,0.9137596413147916,0.9425404651885104,0.9012417976636847,0.9157535278283842,0.9346395002100526,0.9084157893019689
46,14.0,Mobile structures,Mobile structures,7.0,7.0,DB 200%,GDS,Other Structures,4708544169.485828,3986455830.5141735,2.0,SOMO,0.5,0.0556,0.24690704739397085,0.20327200729274417,0.2681331306244595,0.20827664965711504,0.23234081561753953,0.19862915078663892,Structures,-0.05734072038530107,-0.9516320800202884,0.0943296752686824,0.07112331623881399,0.1260435532634488,0.06004955776094103,0.12334707758939209,-0.34422470962624324,0.20372310399459245,0.07112331623881399,0.1260435532634489,0.06004955776094116,0.05061755304429873,0.022545233013152047,0.06404096326906447,0.046832835020207325,0.028786834476536946,0.05425215751546773,0.006243527242740285,-0.0077606262874082566,0.013046623819977496,0.003330906535502408,0.003628394904629472,0.0032578180663807577,0.10621755304429872,0.07814523301315204,0.11964096326906447,0.10243283502020732,0.08438683447653694,0.10985215751546773,0.9137596413147916,0.9425404651885104,0.9012417976636847,0.9157535278283842,0.9346395002100526,0.9084157893019689
47,12.0,Motor vehicles and parts manufacturing,Motor vehicles and parts manufacturing,7.0,7.0,Expensing,GDS,Intellectual Property,39313793397.64573,5835206602.35427,1.0,RD31,0.5,0.31,0.231588,0.19564999999999994,0.24849999999999997,0.19777567593566608,0.22558777762093005,0.186415803416333,Intellectual Property,-0.16591146741024757,-1.1782178217821788,-1.1963610179150395e-16,0.0120333812679003,0.06770570202476876,1.3607184599057421e-16,0.0333298666443351,-0.5002900643841738,0.12078725087781071,0.0120333812679003,0.06770570202476889,2.7214369198114843e-16,0.045904,0.020199999999999996,0.057999999999999996,0.044031779677468075,0.026985512650401167,0.05099433944908699,0.0015299741984415582,-0.010105859300560308,0.00700566055091302,0.0005298511927631575,0.0018270730784936927,1.3877787807814457e-17,0.355904,0.3302,0.368,0.3540317796774681,0.33698551265040116,0.360994339449087,1.0,1.0,1.0,1.0,1.0,1.0
48,40.0,Multimerchandise shopping,Multimerchandise shopping,39.0,39.0,SL,GDS,Nonresidential Buildings,424453104850.85,242344895149.15036,1.0,SC03,0.0,0.0262,0.3153978384666065,0.23876104550369712,0.3526166230611394,0.2554764304694761,0.26374492375042424,0.252400025680677,Structures,0.25346946931042363,-0.31480898641360516,0.35581240044378903,0.26792800632208486,0.32303623581705176,0.2565895263159973,0.38104325428867014,0.09439963296902232,0.43362204964375983,0.26792800632208486,0.3230362358170518,0.2565895263159974,0.07169164260510973,0.033464937078060655,0.09003588401881213,0.05942301967618252,0.03716364287573368,0.06859513183394139,0.027317616803551284,0.003159077777500352,0.03904154456972515,0.015921091191477603,0.012005203303826203,0.017600792384854416,0.09789164260510973,0.059664937078060656,0.11623588401881213,0.08562301967618252,0.06336364287573368,0.09479513183394139,0.33580194903705246,0.4690757942894444,0.2934060192661048,0.3432987259553685,0.42654073245948454,0.3167577928036475
